context,verse_id,answer,entity_type
و  زمانی را که گفتید: «ای موسی! هرگز حاضر نیستیم به یک نوع غذا اکتفا کنیم! از خدای خود بخواه که از آنچه زمین می‌رویاند، از سبزیجات و خیار و سیر و عدس و پیازش، برای ما فراهم سازد.» موسی گفت: «آیا غذای پست‌تر را به جای غذای بهتر انتخاب می‌کنید؟!  در شهری فرود آئید؛ زیرا هر چه خواستید، در آنجا برای شما هست.» و  ذلت و نیاز، بر پیشانی آنها زده شد؛ و باز گرفتار خشم خدائی شدند؛ چرا که آنان نسبت به آیات الهی، کفر می‌ورزیدند؛ و پیامبران را به ناحق می‌کشتند. اینها به خاطر آن بود که گناهکار و متجاوز بودند.,s2.61,سبز,colors
او کسی است که از آسمان، آبی نازل کرد، و به وسیله آن، گیاهان گوناگون رویاندیم؛ و از آن، ساقه‌ها و شاخه‌های سبز، خارج ساختیم؛ و از آنها دانه‌های متراکم، و از شکوفه نخل، شکوفه‌هایی با رشته‌های باریک بیرون فرستادیم؛ و باغهایی از انواع انگور و زیتون و انار،  شبیه به یکدیگر، و  بی‌شباهت! هنگامی که میوه می دهد، به میوه آن و طرز رسیدنش بنگرید که در آن، نشانه‌هایی  برای افراد باایمان است!,s6.99,سبز,colors
پادشاه گفت: «من در خواب دیدم هفت گاو چاق را که هفت گاو لاغر آنها را می‌خورند؛ و هفت خوشه سبز و هفت خوشه خشکیده؛  ای جمعیّت اشراف! درباره خواب من نظر دهید، اگر خواب را تعبیر می‌کنید!»,s12.43,سبز,colors
آنها کسانی هستند که بهشت جاودان برای آنان است؛ باغهایی از بهشت که نهرها از زیر درختان و قصرهایش جاری است؛ در آنجا با دستبندهایی از طلا آراسته می‌شوند؛ و لباسهایی  به رنگ سبز، از حریر نازک و ضخیم، دربر می‌کنند؛ در حالی که بر تختها تکیه کرده‌اند. چه پاداش خوبی، و چه جمع نیکویی!,s18.31,سبز,colors
آیا ندیدی خداوند از آسمان، آبی فرستاد، و زمین  سرسبز و خرّم می‌گردد؟! و خداوند لطیف و آگاه است.,s22.63,سبز,colors
همان کسی که برای شما از درخت سبز، آتش آفرید و شما بوسیله آن، آتش می‌افروزید!»,s36.80,سبز,colors
هر دو خرّم و سرسبزند!,s55.64,سبز,colors
این در حالی است که بهشتیان بر تختهایی تکیه زده‌اند که با بهترین و زیباترین پارچه‌های سبزرنگ پوشانده شده است.,s55.76,سبز,colors
و آن باغ سرسبز همچون شب سیاه و ظلمانی شد!,s68.20,سبز,colors
و شما را با اموال و فرزندان فراوان کمک کند و باغهای سرسبز و نهرهای جاری در اختیارتان قرار دهد!,s71.12,سبز,colors
بر اندام آنها  لباسهایی است از حریر نازک سبزرنگ، و از دیبای ضخیم، و با دستبندهایی از نقره آراسته‌اند، و پروردگارشان شراب طهور به آنان می‌نوشاند!,s76.21,سبز,colors
باغهایی سرسبز، و انواع انگورها،,s78.32,سبز,colors
و انگور و سبزی بسیار،,s80.28,سبز,colors
قطعات بزرگ آهن برایم بیاورید !» تا وقتی که کاملاً میان دو کوه را پوشانید، گفت: « در آن بدمید!»  تا قطعات آهن را سرخ و گداخته کرد، و گفت: « مس مذاب برایم بیاورید تا بر روی آن بریزم!»,s18.96,سرخ,colors
آیا ندیدی خداوند از آسمان آبی فرو فرستاد که بوسیله آن میوه‌هایی رنگارنگ  خارج ساختیم و از کوه‌ها نیز  جاده‌هایی آفریده شده سفید و سرخ و به رنگهای مختلف و گاه به رنگ کاملاً سیاه!,s35.27,سرخ,colors
 روزی خواهد بود که چهره‌هائی سفید، و چهره‌هائی سیاه می‌گردد، اما آنها که صورتهایشان سیاه شده،  آیا بعد از ایمان، و  کافر شدید؟! پس بچشید عذاب را، به سبب آنچه کفر می‌ورزیدید!,s3.106,سفید,colors
و امّا آنها که چهره‌هایشان سفید شده، در رحمت خداوند خواهند بود؛ و جاودانه در آن می‌مانند.,s3.107,سفید,colors
و دست خود را  بیرون آورد؛ سفید  برای بینندگان بود!,s7.108,سفید,colors
و از آنها روی برگرداند و گفت: «وا اسفا بر یوسف!» و چشمان او از اندوه سفید شد، اما خشم خود را فرو می‌برد !,s12.84,سفید,colors
و دستت را به گریبانت ببر، تا سفید و بی‌عیب بیرون آید؛ این نشانه دیگری  است.,s20.22,سفید,colors
و دست خود را  بیرون آورد، و در برابر بینندگان سفید و روشن بود.,s26.33,سفید,colors
و دستت را در گریبانت داخل کن؛ هنگامی که خارج می‌شود، سفید و درخشنده است بی آنکه عیبی در آن باشد؛ این در زمره معجزات نه‌گانه‌ای است که تو با آنها بسوی فرعون و قومش فرستاده می‌شوی؛ آنان قومی فاسق و طغیانگرند!»,s27.12,سفید,colors
دستت را در گریبان خود فروبر، هنگامی که خارج می‌شود سفید و درخشنده است بدون عیب و نقص؛ و دستهایت را بر سینه‌ات بگذار، تا ترس و وحشت از تو دور شود! این دو  برهان روشن از پروردگارت بسوی فرعون و اطرافیان اوست، که آنان قوم فاسقی هستند!»,s28.32,سفید,colors
آیا ندیدی خداوند از آسمان آبی فرو فرستاد که بوسیله آن میوه‌هایی رنگارنگ  خارج ساختیم و از کوه‌ها نیز  جاده‌هایی آفریده شده سفید و سرخ و به رنگهای مختلف و گاه به رنگ کاملاً سیاه!,s35.27,سفید,colors
شرابی سفید و درخشنده، و لذّتبخش برای نوشندگان؛,s37.46,سفید,colors
آمیزش جنسی با همسرانتان، در شبِ روزهایی که روزه می‌گیرید، حلال است. آنها لباس شما هستند؛ و شما لباس آنها . خداوند می‌دانست که شما به خود خیانت می‌کردید؛  پس توبه شما را پذیرفت و شما را بخشید. اکنون با آنها آمیزش کنید، و آنچه را خدا برای شما مقرر داشته، طلب نمایید! و بخورید و بیاشامید، تا رشته سپید صبح، از رشته سیاه  برای شما آشکار گردد! سپس روزه را تا شب، تکمیل کنید! و در حالی که در مساجد به اعتکاف پرداخته‌اید، با زنان آمیزش نکنید! این، مرزهای الهی است؛ پس به آن نزدیک نشوید! خداوند، این چنین آیات خود را برای مردم، روشن می‌سازد، باشد که پرهیزکار گردند!,s2.187,سپید,colors
به سپیده دم سوگند،,s89.1,سپید,colors
شبی است سرشار از سلامت  تا طلوع سپیده!,s97.5,سپید,colors
و سوگند به هجوم آوران سپیده دم‌,s100.3,سپید,colors
بگو: پناه می‌برم به پروردگار سپیده صبح،,s113.1,سپید,colors
آمیزش جنسی با همسرانتان، در شبِ روزهایی که روزه می‌گیرید، حلال است. آنها لباس شما هستند؛ و شما لباس آنها . خداوند می‌دانست که شما به خود خیانت می‌کردید؛  پس توبه شما را پذیرفت و شما را بخشید. اکنون با آنها آمیزش کنید، و آنچه را خدا برای شما مقرر داشته، طلب نمایید! و بخورید و بیاشامید، تا رشته سپید صبح، از رشته سیاه  برای شما آشکار گردد! سپس روزه را تا شب، تکمیل کنید! و در حالی که در مساجد به اعتکاف پرداخته‌اید، با زنان آمیزش نکنید! این، مرزهای الهی است؛ پس به آن نزدیک نشوید! خداوند، این چنین آیات خود را برای مردم، روشن می‌سازد، باشد که پرهیزکار گردند!,s2.187,سیاه,colors
 روزی خواهد بود که چهره‌هائی سفید، و چهره‌هائی سیاه می‌گردد، اما آنها که صورتهایشان سیاه شده،  آیا بعد از ایمان، و  کافر شدید؟! پس بچشید عذاب را، به سبب آنچه کفر می‌ورزیدید!,s3.106,سیاه,colors
در حالی که هرگاه به یکی از آنها بشارت دهند دختر نصیب تو شده، صورتش  سیاه می‌شود؛ و به شدّت خشمگین می‌گردد؛...,s16.58,سیاه,colors
آیا ندیدی خداوند از آسمان آبی فرو فرستاد که بوسیله آن میوه‌هایی رنگارنگ  خارج ساختیم و از کوه‌ها نیز  جاده‌هایی آفریده شده سفید و سرخ و به رنگهای مختلف و گاه به رنگ کاملاً سیاه!,s35.27,سیاه,colors
و روز قیامت کسانی را که بر خدا دروغ بستند می‌بینی که صورتهایشان سیاه است؛ آیا در جهنّم جایگاهی برای متکبّران نیست؟!,s39.60,سیاه,colors
در حالی که هرگاه یکی از آنها را به همان چیزی که برای خداوند رحمان شبیه قرار داده  بشارت دهند، صورتش  سیاه می‌شود و خشمگین می‌گردد!,s43.17,سیاه,colors
هنگامی که آن  را از نزدیک می‌بینند، صورت کافران زشت و سیاه می‌گردد، و به آنها گفته می‌شود: «این همان چیزی است که تقاضای آن را داشتید»!,s67.27,سیاه,colors
و آن باغ سرسبز همچون شب سیاه و ظلمانی شد!,s68.20,سیاه,colors
رنگ خدایی  و چه رنگی از رنگ خدایی بهتر است؟! و ما تنها او را عبادت می‌کنیم.,s2.138,رنگ خدایی,colors
